"vertex","cluster","color"
0,1903,"white"
5,1344,"white"
7,977,"#0073C2FF"
9,1306,"#CD534CFF"
11,1306,"#CD534CFF"
13,1345,"white"
15,977,"#0073C2FF"
28,1346,"#8F7700FF"
30,1346,"#8F7700FF"
32,977,"#0073C2FF"
38,977,"#0073C2FF"
40,1789,"#003C67FF"
49,977,"#0073C2FF"
54,977,"#0073C2FF"
56,1346,"#8F7700FF"
71,1750,"#7AA6DCFF"
73,1346,"#8F7700FF"
153,1320,"white"
155,1306,"#CD534CFF"
157,1347,"white"
159,977,"#0073C2FF"
160,1346,"#8F7700FF"
162,977,"#0073C2FF"
164,1346,"#8F7700FF"
166,977,"#0073C2FF"
168,1346,"#8F7700FF"
190,977,"#0073C2FF"
196,977,"#0073C2FF"
198,1346,"#8F7700FF"
199,977,"#0073C2FF"
200,977,"#0073C2FF"
205,1348,"white"
209,977,"#0073C2FF"
210,1320,"white"
214,977,"#0073C2FF"
278,977,"#0073C2FF"
279,977,"#0073C2FF"
281,1346,"#8F7700FF"
283,1346,"#8F7700FF"
295,1306,"#CD534CFF"
297,977,"#0073C2FF"
299,1346,"#8F7700FF"
316,1349,"white"
328,1306,"#CD534CFF"
330,1346,"#8F7700FF"
335,977,"#0073C2FF"
438,977,"#0073C2FF"
440,1346,"#8F7700FF"
441,977,"#0073C2FF"
442,977,"#0073C2FF"
444,1351,"white"
446,1306,"#CD534CFF"
448,977,"#0073C2FF"
449,1903,"white"
456,918,"white"
458,1352,"white"
460,977,"#0073C2FF"
461,1346,"#8F7700FF"
169,977,"#0073C2FF"
465,418,"#EFC000FF"
467,1750,"#7AA6DCFF"
470,418,"#EFC000FF"
298,977,"#0073C2FF"
474,1353,"white"
476,1346,"#8F7700FF"
478,1354,"white"
480,977,"#0073C2FF"
483,977,"#0073C2FF"
492,1903,"white"
505,903,"#868686FF"
536,1407,"#3B3B3BFF"
538,903,"#868686FF"
541,977,"#0073C2FF"
542,418,"#EFC000FF"
543,1346,"#8F7700FF"
567,1346,"#8F7700FF"
569,977,"#0073C2FF"
571,977,"#0073C2FF"
574,1355,"white"
31,1346,"#8F7700FF"
714,1750,"#7AA6DCFF"
716,977,"#0073C2FF"
718,1306,"#CD534CFF"
727,977,"#0073C2FF"
729,977,"#0073C2FF"
730,977,"#0073C2FF"
749,977,"#0073C2FF"
752,977,"#0073C2FF"
758,977,"#0073C2FF"
759,1306,"#CD534CFF"
770,977,"#0073C2FF"
793,1789,"#003C67FF"
794,1346,"#8F7700FF"
803,1356,"white"
805,1346,"#8F7700FF"
811,1346,"#8F7700FF"
831,1320,"white"
832,1789,"#003C67FF"
834,903,"#868686FF"
836,977,"#0073C2FF"
837,1346,"#8F7700FF"
840,977,"#0073C2FF"
858,1346,"#8F7700FF"
860,1346,"#8F7700FF"
875,977,"#0073C2FF"
876,1306,"#CD534CFF"
878,1357,"white"
880,977,"#0073C2FF"
881,977,"#0073C2FF"
884,1346,"#8F7700FF"
886,1358,"white"
888,1346,"#8F7700FF"
953,1346,"#8F7700FF"
977,1359,"white"
979,977,"#0073C2FF"
980,977,"#0073C2FF"
215,977,"#0073C2FF"
983,977,"#0073C2FF"
984,1407,"#3B3B3BFF"
988,418,"#EFC000FF"
995,1750,"#7AA6DCFF"
997,977,"#0073C2FF"
1035,977,"#0073C2FF"
1036,1360,"white"
1038,246,"white"
1040,903,"#868686FF"
1044,1346,"#8F7700FF"
1047,977,"#0073C2FF"
1048,1346,"#8F7700FF"
1049,977,"#0073C2FF"
1050,1306,"#CD534CFF"
1052,1361,"white"
1054,1407,"#3B3B3BFF"
1056,977,"#0073C2FF"
1058,1346,"#8F7700FF"
1061,977,"#0073C2FF"
1063,977,"#0073C2FF"
1064,1185,"#4A6990FF"
1066,903,"#868686FF"
1068,903,"#868686FF"
1070,1407,"#3B3B3BFF"
1079,1407,"#3B3B3BFF"
1081,1346,"#8F7700FF"
1082,977,"#0073C2FF"
1086,1346,"#8F7700FF"
1088,977,"#0073C2FF"
1089,1362,"white"
1091,1407,"#3B3B3BFF"
170,1346,"#8F7700FF"
1101,1346,"#8F7700FF"
1102,1407,"#3B3B3BFF"
1105,418,"#EFC000FF"
1109,1346,"#8F7700FF"
1120,1306,"#CD534CFF"
1122,1363,"white"
1124,903,"#868686FF"
1237,1407,"#3B3B3BFF"
1242,1346,"#8F7700FF"
1243,977,"#0073C2FF"
1244,903,"#868686FF"
1256,977,"#0073C2FF"
1257,1346,"#8F7700FF"
1259,1789,"#003C67FF"
1265,1407,"#3B3B3BFF"
1267,1750,"#7AA6DCFF"
1269,903,"#868686FF"
1271,977,"#0073C2FF"
1272,1368,"white"
1274,1407,"#3B3B3BFF"
1277,903,"#868686FF"
1280,1346,"#8F7700FF"
1282,977,"#0073C2FF"
1283,903,"#868686FF"
1285,977,"#0073C2FF"
216,977,"#0073C2FF"
1296,1346,"#8F7700FF"
1299,977,"#0073C2FF"
472,977,"#0073C2FF"
1300,977,"#0073C2FF"
1309,903,"#868686FF"
1311,977,"#0073C2FF"
1286,977,"#0073C2FF"
1313,1364,"white"
1315,1346,"#8F7700FF"
1317,1750,"#7AA6DCFF"
1319,418,"#EFC000FF"
1337,977,"#0073C2FF"
1338,903,"#868686FF"
1339,903,"#868686FF"
1343,977,"#0073C2FF"
1344,1346,"#8F7700FF"
1345,1407,"#3B3B3BFF"
1346,977,"#0073C2FF"
1347,977,"#0073C2FF"
1348,1789,"#003C67FF"
1350,977,"#0073C2FF"
1238,977,"#0073C2FF"
1666,1367,"white"
1668,1750,"#7AA6DCFF"
1816,1789,"#003C67FF"
1818,977,"#0073C2FF"
1819,977,"#0073C2FF"
1822,213,"white"
1824,1346,"#8F7700FF"
1834,2686,"white"
1836,977,"#0073C2FF"
1837,1346,"#8F7700FF"
1873,1320,"white"
1875,977,"#0073C2FF"
1876,1076,"white"
1878,1306,"#CD534CFF"
1886,1750,"#7AA6DCFF"
1888,977,"#0073C2FF"
1889,977,"#0073C2FF"
1892,1789,"#003C67FF"
1352,977,"#0073C2FF"
1932,1791,"white"
1935,977,"#0073C2FF"
1938,418,"#EFC000FF"
1942,1750,"#7AA6DCFF"
1944,977,"#0073C2FF"
1945,977,"#0073C2FF"
1947,977,"#0073C2FF"
1950,1320,"white"
1953,977,"#0073C2FF"
1954,213,"white"
1958,1750,"#7AA6DCFF"
1959,977,"#0073C2FF"
2617,977,"#0073C2FF"
2620,1407,"#3B3B3BFF"
2623,1370,"white"
2625,977,"#0073C2FF"
2758,1320,"white"
2759,1371,"white"
1894,977,"#0073C2FF"
2762,1320,"white"
2765,977,"#0073C2FF"
2766,903,"#868686FF"
2769,977,"#0073C2FF"
2789,977,"#0073C2FF"
2792,1373,"white"
2796,903,"#868686FF"
2797,1306,"#CD534CFF"
2799,977,"#0073C2FF"
889,1346,"#8F7700FF"
2801,1750,"#7AA6DCFF"
2803,1346,"#8F7700FF"
2805,1791,"white"
2807,977,"#0073C2FF"
2811,1346,"#8F7700FF"
2814,977,"#0073C2FF"
2816,1789,"#003C67FF"
2819,977,"#0073C2FF"
2820,418,"#EFC000FF"
2821,1374,"white"
2825,977,"#0073C2FF"
2826,1185,"#4A6990FF"
2828,903,"#868686FF"
2829,418,"#EFC000FF"
2830,1306,"#CD534CFF"
2832,1375,"white"
2834,977,"#0073C2FF"
2835,1306,"#CD534CFF"
2837,1903,"white"
2838,1376,"white"
2840,1377,"white"
2846,1306,"#CD534CFF"
2848,1346,"#8F7700FF"
2849,1407,"#3B3B3BFF"
2850,1750,"#7AA6DCFF"
2852,265,"white"
2854,1346,"#8F7700FF"
2855,977,"#0073C2FF"
2856,2390,"white"
2862,1407,"#3B3B3BFF"
2865,1789,"#003C67FF"
2882,418,"#EFC000FF"
2885,1378,"white"
2887,977,"#0073C2FF"
2889,1379,"white"
2894,418,"#EFC000FF"
2896,977,"#0073C2FF"
2857,2390,"white"
2900,977,"#0073C2FF"
2901,977,"#0073C2FF"
2902,1789,"#003C67FF"
2910,1346,"#8F7700FF"
2911,1346,"#8F7700FF"
2913,977,"#0073C2FF"
2914,1306,"#CD534CFF"
2916,977,"#0073C2FF"
2918,1306,"#CD534CFF"
2920,1380,"white"
2922,1383,"white"
2925,1346,"#8F7700FF"
2929,1407,"#3B3B3BFF"
2934,1306,"#CD534CFF"
2938,903,"#868686FF"
2947,1381,"white"
2949,1346,"#8F7700FF"
2951,1320,"white"
2957,2875,"white"
2959,1346,"#8F7700FF"
2962,903,"#868686FF"
2963,977,"#0073C2FF"
2964,977,"#0073C2FF"
2966,977,"#0073C2FF"
2968,1382,"white"
2970,1781,"white"
2972,1306,"#CD534CFF"
2974,2875,"white"
2976,1346,"#8F7700FF"
2987,977,"#0073C2FF"
2989,418,"#EFC000FF"
1320,1366,"white"
2992,977,"#0073C2FF"
2994,903,"#868686FF"
2996,903,"#868686FF"
2998,977,"#0073C2FF"
2999,977,"#0073C2FF"
3000,1185,"#4A6990FF"
3006,903,"#868686FF"
3008,1750,"#7AA6DCFF"
3010,977,"#0073C2FF"
3013,903,"#868686FF"
2923,1383,"white"
3026,1750,"#7AA6DCFF"
3029,977,"#0073C2FF"
3030,977,"#0073C2FF"
3122,1407,"#3B3B3BFF"
3125,977,"#0073C2FF"
3126,977,"#0073C2FF"
3132,1407,"#3B3B3BFF"
3134,977,"#0073C2FF"
3144,977,"#0073C2FF"
3145,1384,"white"
3163,1789,"#003C67FF"
3169,1346,"#8F7700FF"
3171,1789,"#003C67FF"
3173,1750,"#7AA6DCFF"
3175,1385,"white"
3178,977,"#0073C2FF"
3179,1346,"#8F7700FF"
3181,1407,"#3B3B3BFF"
3185,977,"#0073C2FF"
3186,1188,"white"
3188,977,"#0073C2FF"
3189,1789,"#003C67FF"
3190,1306,"#CD534CFF"
72,1750,"#7AA6DCFF"
3198,418,"#EFC000FF"
3199,1407,"#3B3B3BFF"
3200,977,"#0073C2FF"
890,1346,"#8F7700FF"
3201,1386,"white"
3203,977,"#0073C2FF"
3216,388,"white"
3218,1387,"white"
3220,977,"#0073C2FF"
74,977,"#0073C2FF"
3222,2534,"white"
3224,1388,"white"
3229,903,"#868686FF"
3532,1346,"#8F7700FF"
3533,1306,"#CD534CFF"
3534,903,"#868686FF"
3536,1791,"white"
3538,977,"#0073C2FF"
3540,1389,"white"
3543,418,"#EFC000FF"
3545,1306,"#CD534CFF"
3643,1320,"white"
3644,1346,"#8F7700FF"
3646,1346,"#8F7700FF"
3647,1306,"#CD534CFF"
3649,2187,"white"
3651,977,"#0073C2FF"
3654,1407,"#3B3B3BFF"
3657,977,"#0073C2FF"
3659,903,"#868686FF"
3662,977,"#0073C2FF"
3670,903,"#868686FF"
3679,977,"#0073C2FF"
3680,1346,"#8F7700FF"
3681,1789,"#003C67FF"
3688,1407,"#3B3B3BFF"
3689,1346,"#8F7700FF"
3690,977,"#0073C2FF"
3692,1407,"#3B3B3BFF"
3695,1390,"white"
3697,1346,"#8F7700FF"
3699,418,"#EFC000FF"
3703,903,"#868686FF"
3704,977,"#0073C2FF"
3706,1185,"#4A6990FF"
3707,1306,"#CD534CFF"
3709,1306,"#CD534CFF"
3711,1346,"#8F7700FF"
3713,1346,"#8F7700FF"
3735,1306,"#CD534CFF"
3737,903,"#868686FF"
3738,1185,"#4A6990FF"
3739,1346,"#8F7700FF"
3741,977,"#0073C2FF"
1895,977,"#0073C2FF"
1353,977,"#0073C2FF"
3787,1407,"#3B3B3BFF"
3791,1391,"white"
3793,1346,"#8F7700FF"
3794,1320,"white"
3799,977,"#0073C2FF"
3801,1306,"#CD534CFF"
3803,1392,"white"
3806,1789,"#003C67FF"
3808,977,"#0073C2FF"
3809,1393,"white"
3812,977,"#0073C2FF"
3814,977,"#0073C2FF"
3815,1320,"white"
3818,1346,"#8F7700FF"
3821,977,"#0073C2FF"
3822,1346,"#8F7700FF"
3826,1789,"#003C67FF"
3912,418,"#EFC000FF"
1059,1346,"#8F7700FF"
4038,1306,"#CD534CFF"
4040,1306,"#CD534CFF"
4041,1346,"#8F7700FF"
4042,1346,"#8F7700FF"
4044,977,"#0073C2FF"
4045,1789,"#003C67FF"
4058,977,"#0073C2FF"
2804,1346,"#8F7700FF"
4061,1394,"white"
4063,1346,"#8F7700FF"
4065,1320,"white"
4066,418,"#EFC000FF"
4067,977,"#0073C2FF"
4069,1306,"#CD534CFF"
4071,1,"white"
4072,977,"#0073C2FF"
4164,1750,"#7AA6DCFF"
4167,1750,"#7AA6DCFF"
4168,903,"#868686FF"
4170,418,"#EFC000FF"
4171,8,"white"
4173,977,"#0073C2FF"
4178,903,"#868686FF"
4180,1395,"white"
4183,1320,"white"
4184,1396,"white"
4197,1750,"#7AA6DCFF"
4199,977,"#0073C2FF"
4201,1346,"#8F7700FF"
217,977,"#0073C2FF"
4219,1346,"#8F7700FF"
4221,1397,"white"
4223,977,"#0073C2FF"
4224,1320,"white"
4226,903,"#868686FF"
4228,193,"white"
4230,1346,"#8F7700FF"
4232,1346,"#8F7700FF"
4233,977,"#0073C2FF"
4234,977,"#0073C2FF"
4235,1306,"#CD534CFF"
4238,977,"#0073C2FF"
4239,977,"#0073C2FF"
4265,1398,"white"
4267,1346,"#8F7700FF"
4268,903,"#868686FF"
4270,265,"white"
1126,903,"#868686FF"
4278,1407,"#3B3B3BFF"
5621,977,"#0073C2FF"
5622,977,"#0073C2FF"
5624,977,"#0073C2FF"
1355,977,"#0073C2FF"
5627,977,"#0073C2FF"
5628,977,"#0073C2FF"
197,977,"#0073C2FF"
5629,977,"#0073C2FF"
5631,977,"#0073C2FF"
5632,977,"#0073C2FF"
5633,418,"#EFC000FF"
5635,977,"#0073C2FF"
5636,2390,"white"
5641,1830,"white"
5646,977,"#0073C2FF"
5647,304,"#A73030FF"
5649,977,"#0073C2FF"
5650,977,"#0073C2FF"
5652,977,"#0073C2FF"
5653,1399,"white"
5655,1407,"#3B3B3BFF"
5656,1400,"white"
5658,418,"#EFC000FF"
5660,977,"#0073C2FF"
481,977,"#0073C2FF"
5661,977,"#0073C2FF"
5663,1320,"white"
1356,977,"#0073C2FF"
5674,977,"#0073C2FF"
5675,903,"#868686FF"
5678,1401,"white"
5680,1402,"white"
5682,1306,"#CD534CFF"
5690,977,"#0073C2FF"
5691,903,"#868686FF"
5693,1346,"#8F7700FF"
3705,977,"#0073C2FF"
5701,977,"#0073C2FF"
5702,1789,"#003C67FF"
1357,977,"#0073C2FF"
5704,977,"#0073C2FF"
5706,1403,"white"
5708,214,"white"
5710,977,"#0073C2FF"
5711,1404,"white"
5713,1306,"#CD534CFF"
5715,1346,"#8F7700FF"
5716,1405,"white"
5718,977,"#0073C2FF"
5719,977,"#0073C2FF"
5723,1346,"#8F7700FF"
5725,1750,"#7AA6DCFF"
5727,977,"#0073C2FF"
719,1306,"#CD534CFF"
5735,1406,"white"
5737,1407,"#3B3B3BFF"
5865,1306,"#CD534CFF"
5867,265,"white"
5869,903,"#868686FF"
5870,977,"#0073C2FF"
5871,1750,"#7AA6DCFF"
5890,977,"#0073C2FF"
5891,977,"#0073C2FF"
5892,418,"#EFC000FF"
5894,1306,"#CD534CFF"
5898,903,"#868686FF"
5899,1306,"#CD534CFF"
5901,977,"#0073C2FF"
5902,977,"#0073C2FF"
5903,903,"#868686FF"
5908,903,"#868686FF"
5910,418,"#EFC000FF"
5913,1789,"#003C67FF"
5915,1750,"#7AA6DCFF"
5917,1306,"#CD534CFF"
5929,1408,"white"
5931,903,"#868686FF"
5932,1306,"#CD534CFF"
3230,903,"#868686FF"
5935,977,"#0073C2FF"
1960,977,"#0073C2FF"
5954,977,"#0073C2FF"
5956,977,"#0073C2FF"
5957,977,"#0073C2FF"
5958,1306,"#CD534CFF"
5959,1409,"white"
5963,1407,"#3B3B3BFF"
5970,1750,"#7AA6DCFF"
5972,977,"#0073C2FF"
2626,903,"#868686FF"
5975,1410,"white"
5977,1306,"#CD534CFF"
5979,977,"#0073C2FF"
5980,977,"#0073C2FF"
5981,1411,"white"
1127,903,"#868686FF"
5983,1306,"#CD534CFF"
5984,977,"#0073C2FF"
5985,903,"#868686FF"
5988,1306,"#CD534CFF"
5989,1789,"#003C67FF"
5991,1346,"#8F7700FF"
5992,977,"#0073C2FF"
5994,1320,"white"
5999,1789,"#003C67FF"
6001,1407,"#3B3B3BFF"
6002,977,"#0073C2FF"
6003,977,"#0073C2FF"
6004,1412,"white"
5990,977,"#0073C2FF"
6006,977,"#0073C2FF"
6008,2213,"white"
6010,418,"#EFC000FF"
6011,903,"#868686FF"
6012,977,"#0073C2FF"
6013,1413,"white"
6015,1414,"white"
1961,977,"#0073C2FF"
6017,1346,"#8F7700FF"
6018,977,"#0073C2FF"
6023,977,"#0073C2FF"
6024,977,"#0073C2FF"
6025,1346,"#8F7700FF"
6027,1185,"#4A6990FF"
6028,1346,"#8F7700FF"
6029,1346,"#8F7700FF"
6031,903,"#868686FF"
6033,977,"#0073C2FF"
4279,1407,"#3B3B3BFF"
6034,977,"#0073C2FF"
6035,1415,"white"
6037,1306,"#CD534CFF"
6039,1346,"#8F7700FF"
6040,977,"#0073C2FF"
6041,1789,"#003C67FF"
6043,1416,"white"
6045,1306,"#CD534CFF"
6047,1346,"#8F7700FF"
6049,1346,"#8F7700FF"
771,1346,"#8F7700FF"
6055,1789,"#003C67FF"
6056,418,"#EFC000FF"
6057,1306,"#CD534CFF"
6058,977,"#0073C2FF"
6059,977,"#0073C2FF"
6061,977,"#0073C2FF"
6087,977,"#0073C2FF"
6088,418,"#EFC000FF"
6089,900,"white"
6094,418,"#EFC000FF"
6096,977,"#0073C2FF"
6097,265,"white"
6099,1750,"#7AA6DCFF"
6100,977,"#0073C2FF"
6101,1417,"white"
5664,977,"#0073C2FF"
6104,977,"#0073C2FF"
6105,1346,"#8F7700FF"
6107,418,"#EFC000FF"
6109,977,"#0073C2FF"
6111,1346,"#8F7700FF"
6113,1418,"white"
6115,1789,"#003C67FF"
6116,1306,"#CD534CFF"
6118,977,"#0073C2FF"
6119,1306,"#CD534CFF"
6120,1320,"white"
6121,977,"#0073C2FF"
6122,1306,"#CD534CFF"
6124,977,"#0073C2FF"
6125,903,"#868686FF"
6127,1320,"white"
6128,1320,"white"
6129,418,"#EFC000FF"
6131,977,"#0073C2FF"
6132,977,"#0073C2FF"
6134,977,"#0073C2FF"
6135,977,"#0073C2FF"
6136,977,"#0073C2FF"
6143,1346,"#8F7700FF"
6145,1306,"#CD534CFF"
6147,977,"#0073C2FF"
6148,977,"#0073C2FF"
6150,1306,"#CD534CFF"
6205,1750,"#7AA6DCFF"
6206,1419,"white"
6208,903,"#868686FF"
6211,1306,"#CD534CFF"
6212,1420,"white"
6214,1421,"white"
6216,2451,"white"
6218,977,"#0073C2FF"
6220,1306,"#CD534CFF"
6226,418,"#EFC000FF"
6098,265,"white"
6228,1346,"#8F7700FF"
6232,1320,"white"
6233,176,"white"
6235,214,"white"
6237,903,"#868686FF"
6238,977,"#0073C2FF"
6239,1407,"#3B3B3BFF"
6266,977,"#0073C2FF"
6267,977,"#0073C2FF"
6268,1306,"#CD534CFF"
6270,977,"#0073C2FF"
6271,1306,"#CD534CFF"
6272,977,"#0073C2FF"
6273,1306,"#CD534CFF"
154,1320,"white"
6279,977,"#0073C2FF"
6282,1422,"white"
6285,918,"white"
6287,1789,"#003C67FF"
2883,418,"#EFC000FF"
6288,418,"#EFC000FF"
6289,1306,"#CD534CFF"
577,1346,"#8F7700FF"
6292,1306,"#CD534CFF"
6294,903,"#868686FF"
6295,1306,"#CD534CFF"
6296,1346,"#8F7700FF"
6298,977,"#0073C2FF"
6299,1320,"white"
5937,1789,"#003C67FF"
6346,418,"#EFC000FF"
6347,418,"#EFC000FF"
6349,977,"#0073C2FF"
6350,1423,"white"
6352,1306,"#CD534CFF"
6353,1346,"#8F7700FF"
6363,977,"#0073C2FF"
6367,2,"white"
6368,903,"#868686FF"
6371,977,"#0073C2FF"
6372,977,"#0073C2FF"
2866,1789,"#003C67FF"
6391,977,"#0073C2FF"
6394,903,"#868686FF"
2867,903,"#868686FF"
6399,331,"white"
6401,977,"#0073C2FF"
6402,977,"#0073C2FF"
6403,977,"#0073C2FF"
6407,1407,"#3B3B3BFF"
3127,977,"#0073C2FF"
6410,1661,"white"
6412,903,"#868686FF"
3231,903,"#868686FF"
6415,418,"#EFC000FF"
6422,977,"#0073C2FF"
6423,903,"#868686FF"
6439,977,"#0073C2FF"
6440,1884,"white"
6445,1346,"#8F7700FF"
6458,1346,"#8F7700FF"
6460,918,"white"
6468,1407,"#3B3B3BFF"
4073,977,"#0073C2FF"
6475,977,"#0073C2FF"
6476,1320,"white"
6478,1346,"#8F7700FF"
6479,1346,"#8F7700FF"
6480,977,"#0073C2FF"
6497,977,"#0073C2FF"
6507,977,"#0073C2FF"
6509,1306,"#CD534CFF"
6511,977,"#0073C2FF"
3011,977,"#0073C2FF"
6512,903,"#868686FF"
6513,1306,"#CD534CFF"
191,977,"#0073C2FF"
6571,977,"#0073C2FF"
6572,1346,"#8F7700FF"
6573,1750,"#7AA6DCFF"
6574,977,"#0073C2FF"
6585,903,"#868686FF"
6587,903,"#868686FF"
6588,3,"white"
6589,1789,"#003C67FF"
6590,1306,"#CD534CFF"
6592,977,"#0073C2FF"
6594,418,"#EFC000FF"
6595,1407,"#3B3B3BFF"
6598,977,"#0073C2FF"
6602,418,"#EFC000FF"
6603,1750,"#7AA6DCFF"
6605,903,"#868686FF"
6607,977,"#0073C2FF"
6608,1791,"white"
6612,977,"#0073C2FF"
6674,903,"#868686FF"
6677,2181,"white"
6679,977,"#0073C2FF"
6692,1750,"#7AA6DCFF"
171,977,"#0073C2FF"
6695,1346,"#8F7700FF"
6696,977,"#0073C2FF"
6697,903,"#868686FF"
6698,3020,"white"
6702,1789,"#003C67FF"
6709,418,"#EFC000FF"
6710,1306,"#CD534CFF"
6714,1407,"#3B3B3BFF"
6718,1346,"#8F7700FF"
6720,1448,"white"
6722,1424,"white"
6724,977,"#0073C2FF"
75,977,"#0073C2FF"
6745,1346,"#8F7700FF"
6755,1107,"white"
6757,977,"#0073C2FF"
6758,977,"#0073C2FF"
6760,1320,"white"
6763,977,"#0073C2FF"
6764,418,"#EFC000FF"
6765,977,"#0073C2FF"
6766,977,"#0073C2FF"
6768,977,"#0073C2FF"
6302,1789,"#003C67FF"
6783,1306,"#CD534CFF"
6785,1185,"#4A6990FF"
6788,977,"#0073C2FF"
6789,1407,"#3B3B3BFF"
6792,977,"#0073C2FF"
6793,977,"#0073C2FF"
6794,1407,"#3B3B3BFF"
6795,977,"#0073C2FF"
6796,1306,"#CD534CFF"
6725,977,"#0073C2FF"
6799,977,"#0073C2FF"
6800,1306,"#CD534CFF"
6801,903,"#868686FF"
6802,977,"#0073C2FF"
6804,977,"#0073C2FF"
6805,1425,"white"
6807,1306,"#CD534CFF"
6824,1789,"#003C67FF"
6825,1426,"white"
6827,977,"#0073C2FF"
6828,1306,"#CD534CFF"
6829,29,"white"
6833,1407,"#3B3B3BFF"
4282,418,"#EFC000FF"
6835,977,"#0073C2FF"
6836,977,"#0073C2FF"
6837,1306,"#CD534CFF"
6851,977,"#0073C2FF"
6853,903,"#868686FF"
6854,977,"#0073C2FF"
6855,1407,"#3B3B3BFF"
6857,1427,"white"
6859,1306,"#CD534CFF"
6861,977,"#0073C2FF"
6862,1346,"#8F7700FF"
6863,977,"#0073C2FF"
6868,1346,"#8F7700FF"
6870,1750,"#7AA6DCFF"
6872,903,"#868686FF"
6875,1428,"white"
6877,1320,"white"
6878,1306,"#CD534CFF"
6879,1346,"#8F7700FF"
6881,1429,"white"
6883,1320,"white"
6885,1306,"#CD534CFF"
6886,977,"#0073C2FF"
6887,1346,"#8F7700FF"
6890,977,"#0073C2FF"
6893,977,"#0073C2FF"
4074,977,"#0073C2FF"
6900,903,"#868686FF"
6903,418,"#EFC000FF"
6904,1320,"white"
6906,1430,"white"
33,977,"#0073C2FF"
7043,1750,"#7AA6DCFF"
7044,903,"#868686FF"
7045,1346,"#8F7700FF"
7047,977,"#0073C2FF"
336,1346,"#8F7700FF"
7055,977,"#0073C2FF"
7056,1431,"white"
7060,1320,"white"
6613,977,"#0073C2FF"
7061,1320,"white"
7063,1432,"white"
7065,977,"#0073C2FF"
7069,1185,"#4A6990FF"
7070,1306,"#CD534CFF"
7072,903,"#868686FF"
7075,418,"#EFC000FF"
7079,1306,"#CD534CFF"
7080,1306,"#CD534CFF"
7081,977,"#0073C2FF"
7082,977,"#0073C2FF"
7083,1433,"white"
7085,977,"#0073C2FF"
7086,1346,"#8F7700FF"
7087,1306,"#CD534CFF"
7088,1346,"#8F7700FF"
7089,1185,"#4A6990FF"
7092,1306,"#CD534CFF"
7093,1346,"#8F7700FF"
4283,903,"#868686FF"
4284,977,"#0073C2FF"
7096,1750,"#7AA6DCFF"
7097,977,"#0073C2FF"
7098,1306,"#CD534CFF"
7100,1306,"#CD534CFF"
7101,998,"white"
7112,1346,"#8F7700FF"
7113,418,"#EFC000FF"
7114,1306,"#CD534CFF"
7116,903,"#868686FF"
7124,1306,"#CD534CFF"
7126,1791,"white"
7128,418,"#EFC000FF"
7129,1346,"#8F7700FF"
7130,1789,"#003C67FF"
7133,418,"#EFC000FF"
7134,1320,"white"
7135,1346,"#8F7700FF"
7137,418,"#EFC000FF"
7138,977,"#0073C2FF"
7140,1407,"#3B3B3BFF"
7185,1320,"white"
7187,1320,"white"
7189,1346,"#8F7700FF"
7209,1306,"#CD534CFF"
7210,418,"#EFC000FF"
5665,977,"#0073C2FF"
3546,1306,"#CD534CFF"
7526,977,"#0073C2FF"
7527,1346,"#8F7700FF"
7529,977,"#0073C2FF"
7531,1407,"#3B3B3BFF"
7532,977,"#0073C2FF"
7533,1320,"white"
7534,1346,"#8F7700FF"
7537,1434,"white"
7539,1407,"#3B3B3BFF"
7550,1435,"white"
7552,1436,"white"
7555,977,"#0073C2FF"
7556,418,"#EFC000FF"
7557,1320,"white"
7559,903,"#868686FF"
7560,4,"white"
7561,1306,"#CD534CFF"
7562,1306,"#CD534CFF"
7563,1346,"#8F7700FF"
7564,1306,"#CD534CFF"
7565,977,"#0073C2FF"
7566,977,"#0073C2FF"
7569,1306,"#CD534CFF"
7570,903,"#868686FF"
7573,418,"#EFC000FF"
7574,977,"#0073C2FF"
4285,1407,"#3B3B3BFF"
7576,1306,"#CD534CFF"
7577,977,"#0073C2FF"
7578,1407,"#3B3B3BFF"
1948,918,"white"
7599,977,"#0073C2FF"
7600,903,"#868686FF"
7601,977,"#0073C2FF"
3743,977,"#0073C2FF"
7605,1306,"#CD534CFF"
7606,977,"#0073C2FF"
7607,977,"#0073C2FF"
7609,418,"#EFC000FF"
7611,1437,"white"
7613,977,"#0073C2FF"
7614,977,"#0073C2FF"
7615,418,"#EFC000FF"
7619,1306,"#CD534CFF"
7620,1438,"white"
7622,977,"#0073C2FF"
7623,1306,"#CD534CFF"
7625,1750,"#7AA6DCFF"
7627,1306,"#CD534CFF"
891,977,"#0073C2FF"
7567,977,"#0073C2FF"
7655,977,"#0073C2FF"
7656,1439,"white"
7658,1306,"#CD534CFF"
7659,1440,"white"
7661,418,"#EFC000FF"
7662,1789,"#003C67FF"
7672,977,"#0073C2FF"
6908,977,"#0073C2FF"
7673,977,"#0073C2FF"
7674,1320,"white"
7675,977,"#0073C2FF"
7678,1306,"#CD534CFF"
6019,977,"#0073C2FF"
7682,977,"#0073C2FF"
7683,977,"#0073C2FF"
7684,1441,"white"
7686,1789,"#003C67FF"
7690,1346,"#8F7700FF"
7692,977,"#0073C2FF"
7694,977,"#0073C2FF"
7695,1346,"#8F7700FF"
7696,903,"#868686FF"
5938,1346,"#8F7700FF"
7814,977,"#0073C2FF"
795,977,"#0073C2FF"
8516,418,"#EFC000FF"
